,Auteur,Identifiant auteur,Titre,Directeur de these,Directeur de these (nom prenom),Identifiant directeur,Etablissement de soutenance,Identifiant etablissement,Discipline,Statut,Date de premiere inscription en doctorat,Date de soutenance,Year,Langue de la these,Identifiant de la these,Accessible en ligne,Publication dans theses.fr,Mise a jour dans theses.fr,Discipline_prÃ©di,Genre,etablissement_rec,Langue_rec
3879,Alena Pershina,,L'arbitrage sportif en droit francais et droit russe : etude comparee,Georges Khairallah,Khairallah Georges,60563834,Paris 2,26403145,Droit compare,enCours,27-11-13,,,na,s99070,non,27-11-13,04-04-16,Droit et Science Politique,female,Université Panthéon-Assas,NA
3880,Leon-Claude Chiche,,Figurants anonymes et figures archivees dans le jardin du peintre : mise en espace d'un tableau multiple et invention d'un territoire,Benjamin Brou,Brou Benjamin,na,Artois,34634894,Arts plastiques,enCours,01-10-95,,,na,s99087,non,27-11-13,27-11-13,Biologie,male,Université d'Artois,NA
3881,Clara Sandrini,174569467,Politique urbaine & memoire collective : monumentalisation de Paris depuis l'Occupation,Jean-Louis Cohen,Cohen Jean-Louis,26793253,Paris 8,26403552,Architecture,soutenue,,01-01-05,2005.0,fr,2005PA083582,non,28-11-13,02-07-15,SHS,female,Université Paris 8 - Vincennes - Saint-Denis,Français
3882,Serge Allegraud,,De l'Euclidis Elementorum Libri au Jihe Yuanben : etude linguistique,Siyan Jin,Jin Siyan,55811752,Artois,34634894,Etudes Chinoises,enCours,30-11-12,,,na,s99103,non,28-11-13,05-04-16,Biologie,male,Université d'Artois,NA
3883,Lauren Baum,,"Les droits de l'Homme, la lutte contre la corruption et les politiques d'aide publique au developpement",Olivier de Frouville,Frouville Olivier de,57433070,Paris 2,26403145,Droit international,enCours,28-11-13,,,na,s99126,non,28-11-13,04-04-16,Droit et Science Politique,mostly_female,Université Panthéon-Assas,NA
3884,Alexandre Gilet,,Developpement de resines thermoplastiques pour fonctionnalisation de matieres premieres amyglacees,Sebastien Tilloy,Tilloy Sebastien,na,Artois,34634894,Molecules et matiere condensee,enCours,25-10-13,,,na,s99152,non,28-11-13,28-11-13,"Materiaux, Milieux et Chimie",male,Université d'Artois,NA
3885,Min Tang,,LA METAMORPHOSE DES VILLES SPONTANEES,"Jean Attali,Anne Grillet aubert","Attali Jean,Grillet aubert Anne",na,Paris Est,190456396,Architecture,enCours,15-11-13,,,na,s99179,non,28-11-13,11-02-16,SHS,andy,Université Gustave Eiffel,NA
3886,Philippe Bellanger,,Actes de soins et personnes vulnerables,Fanny Vasseur-Lambry,Vasseur-Lambry Fanny,55288332,Artois,34634894,Droit prive,enCours,02-12-11,,,na,s99194,non,29-11-13,05-04-16,Droit et Science Politique,male,Université d'Artois,NA
3887,Gonzague De Chanterac (de chanterac),,La liberte d'Education,Guillaume Drago,Drago Guillaume,30622840,Paris 2,26403145,Droit public,enCours,29-11-13,,,na,s99207,non,29-11-13,29-11-13,Droit et Science Politique,male,Université Panthéon-Assas,NA
3888,Anne Conchon,,L'economie de la circulation en France au 18eme siecle : dynamiques institutionnelles et organisation de l'espace.,Dominique Margairaz,Margairaz Dominique,na,Paris 1,27361802,Histoire,enCours,04-10-13,07-12-13,2013.0,na,s99255,non,29-11-13,07-01-14,SHS,female,Université Paris 1 - Panthéon Sorbonne,NA
3889,Sophie Laveran,,Le probleme de la singularite chez Spinoza. Une redefinition a partir de sa critique de l'atomisme.,Chantal Jaquet,Jaquet Chantal,na,Paris 1,27361802,Philosophie,enCours,28-11-08,09-12-13,2013.0,na,s90729,non,29-11-13,12-12-13,SHS,female,Université Paris 1 - Panthéon Sorbonne,NA
3890,Pauline Bouin,,Etude de la propagation de fissures sous chargement de fatigue thermique 3D,Antoine Fissolo,Fissolo Antoine,na,"Rouen, INSA",33364346,Mecanique,enCours,17-11-08,18-09-12,2012.0,na,s99259,non,02-12-13,02-12-13,Science de l'ingÃ©nieur,female,Institut national des sciences appliquées de Rouen Normandie,NA
3891,Martin Mlynarski,,Fondements dune identite constitutionnelle,Olivier Beaud,Beaud Olivier,32128770,Paris 2,26403145,Droit public,enCours,02-12-13,,,na,s99262,non,02-12-13,02-12-13,Droit et Science Politique,male,Université Panthéon-Assas,NA
3892,Liliane Markiewicz,,Droit des traites et emergence dun ordre public international (XVIe XVIIe s.),Guillaume Leyte,Leyte Guillaume,29299527,Paris 2,26403145,Histoire du droit,enCours,02-12-13,,,na,s99264,non,02-12-13,04-04-16,Droit et Science Politique,female,Université Panthéon-Assas,NA
3893,Joyce Lenna Ticona Nunez (ticona Nunez),,La protection des savoirs traditionnels en tant que droits fondamentaux : Etude de linteraction entre le droit de la Propriete Intellectuelle et les Droits de lHomme,Olivier de Frouville,Frouville Olivier de,57433070,Paris 2,26403145,Droit international,enCours,02-12-13,,,na,s99263,non,02-12-13,04-04-16,Droit et Science Politique,female,Université Panthéon-Assas,NA
3894,Sebastien Bommart,,Evaluation tomodensitometrique quantitative du remodelage des voies aeriennes proximales et distales lie a l'age,Jacques Mercier,Mercier Jacques,na,Montpellier 1,28032837,Biologie Sante,enCours,,27-11-13,2013.0,fr,s99290,non,02-12-13,04-04-16,Biologie,male,Université de Montpellier,Français
3895,Cyrille almamy Ka,,"Experiences du droit des femmes immigrees en France en situation de precarite : entre subjectivations, resistances et acculturations.",Etienne Le roy,Le roy Etienne,na,Paris 1,27361802,Droit,enCours,12-02-01,02-12-13,2013.0,na,s99300,non,02-12-13,02-12-13,Droit et Science Politique,mostly_male,Université Paris 1 - Panthéon Sorbonne,NA
3896,Lucien Lagarde,,Les moyens de pression economique des Etats au regard du droit international,Yves Nouvel,Nouvel Yves,70550824,Paris 2,26403145,Droit international,enCours,03-12-13,,,na,s99324,non,03-12-13,04-04-16,Droit et Science Politique,male,Université Panthéon-Assas,NA
3897,Isabelle Vasilic,,Etudes Psychanalytique et esthetiques parcours psychanalyse,Jean-bernard Paturet,Paturet Jean-bernard,na,Montpellier 3,26404702,Psychologie,enCours,25-11-13,,,na,s99330,non,03-12-13,03-12-13,Psychologie,female,Université Paul-Valéry - Montpellier 3,NA
3898,Amani Fares,,La gouvernance territoriale au sein des territoires : valorisation des ressources et gestion patrimoniales : Analyses des pompetences territoirales en faveur de l'emergence des territoires.,Genevieve Michon,Michon Genevieve,na,Montpellier 3,26404702,Geographie,enCours,20-01-14,,,na,s99341,non,03-12-13,18-03-14,SHS,female,Université Paul-Valéry - Montpellier 3,NA
3899,Oriane Maubert,,Marionnettisation du corps de lacteur : la marionnette et la danse sur la scene contemporaine occidentale du XXIe siecle,Didier Plassard,Plassard Didier,na,Montpellier 3,26404702,"Arts plastiques, musicologie",enCours,25-11-13,,,na,s99343,non,03-12-13,13-07-15,SHS,female,Université Paul-Valéry - Montpellier 3,NA
3900,Sarah Legasal,,Le paradis terrestre entre mythe et realite dans la pensee francaise de la seconde moitie du XVII siecle a l'age des lumieres,Maria susana Seguin,Seguin Maria susana,na,Montpellier 3,26404702,Litterature generale et comparee,enCours,25-11-13,,,na,s99344,non,03-12-13,03-12-13,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
3901,Cyril Mare,,"La melancolie dans la peinture sur vase de la grece antique: Un traitement iconographique, litteraire et psychanalytique",Marie Blaise,Blaise Marie,na,Montpellier 3,26404702,Psychologie,enCours,25-11-13,,,na,s99346,non,03-12-13,03-12-13,Psychologie,male,Université Paul-Valéry - Montpellier 3,NA
3902,Isabelle Aliaga,,"De la competence de communiation interculturelle vers une approche integrative, multi sensorielle et pluridisciplinaire des langues vivantes a l'ecole.",Martine Dreyfus,Dreyfus Martine,na,Montpellier 3,26404702,Sciences du langage - linguistique,enCours,27-11-13,,,na,s99348,non,03-12-13,03-12-13,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
3903,Nathalie Oziol,,La langue des condamnes dans le theatre elisabethain,Nathalie Vienne-guerrin,Vienne-guerrin Nathalie,na,Montpellier 3,26404702,Langues et litteratures etrangeres,enCours,29-11-13,,,na,s99354,non,03-12-13,17-01-14,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
3904,Sarah KERZAZI HAJJAM (Kerzazi),,L'engagement dans la poesie carcerale francophone : le cas des prisonniers politiques maghrebins aux XXe et XXIe siecles,Guy Dugas,Dugas Guy,na,Montpellier 3,26404702,"LITTERATURES FRANCAISES, COMPAREES specialite Litterature comparee",enCours,01-10-13,,,na,s99355,non,03-12-13,18-03-16,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
3905,Ludovic Salmon,,La doctrine d'emploi des forces de l'armee francaise a travers l'enseignement de l'Ecole Superieure de Guerre (1918-1940),Jean-francois Muracciole,Muracciole Jean-francois,na,Montpellier 3,26404702,Histoire contemporaine - mention militaire et etudes de defense,enCours,03-12-13,,,na,s99357,non,03-12-13,03-12-13,SHS,male,Université Paul-Valéry - Montpellier 3,NA
3906,Romain Desert,,Ciblage therapeuthique de la voie de signalisation wnt B-catenine par des inhibiteurs extracellulaires dans le cancer du foie,"Bruno Clement,Orlando Musso","Clement Bruno,Musso Orlando",na,Rennes 1,02778715X,Biologie et Sciences de la Sante,enCours,01-09-13,,,na,s99421,non,04-12-13,04-04-16,Biologie,male,Université de Rennes 1,NA
3907,Emmanuelle Donnou,,Roles des micro RNA dans le melanome : une voie therapeutique inexploree ?,"Marie-Dominique Galibert,David Gilot","Galibert Marie-Dominique,Gilot David",na,Rennes 1,02778715X,Biologie,enCours,01-09-13,,,na,s99424,non,04-12-13,04-04-16,Biologie,female,Université de Rennes 1,NA
3908,Solene-Florence Jacquet,,Carcinomes a cellules claires du rein : phenotype metastatique et mecanismes de resistance aux therapies ciblees,"Nathalie Rioux-Leclercq,Marc-Antoine Belaud-Rorureau","Rioux-Leclercq Nathalie,Belaud-Rorureau Marc-Antoine",na,Rennes 1,02778715X,Biologie et Sciences de la Sante,enCours,01-09-13,,,na,s99425,non,04-12-13,04-04-16,Biologie,unknown,Université de Rennes 1,NA
3909,Mohamed-Yanis Guenoune,,Exposition aux bacteries environnementales dans l'habitat : methides de mesure et impact sur la sante des occupants,"Olivier Thomas,Pierre Le Cann","Thomas Olivier,Le Cann Pierre",na,Rennes 1,02778715X,Biologie,enCours,01-09-13,,,na,s99426,non,04-12-13,04-04-16,Biologie,male,Université de Rennes 1,NA
3910,Aveline Filliol,,Comprehension de la regulation et du role de nouvelles cytokines dont l'IL-33 dans des modeles murins d'hepatite,"Michel Samson,Lucie Lamontagne","Samson Michel,Lamontagne Lucie",na,Rennes 1,02778715X,Biologie et Sciences de la Sante,enCours,01-09-13,,,na,s99428,non,04-12-13,04-04-16,Biologie,female,Université de Rennes 1,NA
3911,Pierre-yves Le roux,,Evaluation et optimisation de la tomoscintigraphie pulmonaire de ventilation-perfusion pour le diagnostic de l'embolie pulmonaire,"Pierre-yves Salaun,Gregoire Le gal","Salaun Pierre-yves,Le gal Gregoire",na,Brest,26403021,Sciences de la vie et de la sante,enCours,14-01-10,23-01-14,2014.0,na,s98285,non,05-12-13,11-02-16,Biologie,male,Université de Bretagne Occidentale,NA
3912,Alain Scaramucci,,L'intervention devant la Cour de justice de l'Union europeenne,Fabrice Picod,Picod Fabrice,57219559,Paris 2,26403145,Droit de l'Union europeenne,enCours,05-12-13,,,na,s99466,non,05-12-13,04-04-16,Droit et Science Politique,male,Université Panthéon-Assas,NA
3913,Claire Owen,,Economic and behavioral analysis of the cultural market for music from an experimental perspective,Xavier Greffe,Greffe Xavier,na,Paris 1,27361802,Sciences economiques,enCours,09-11-07,06-12-13,2013.0,na,s99509,non,05-12-13,17-12-13,Economie Gestion,female,Université Paris 1 - Panthéon Sorbonne,NA
3914,Bruno Pietrini,,Les reseaux sociaux et les collectivites territoriales francaises : chances et menaces pour les acteurs locaux. L'exemple de la Region Nord pas de calais,Francis Balle,Balle Francis,26702606,Paris 2,26403145,Sciences de l'information et de la communication,enCours,06-12-13,,,na,s99520,non,06-12-13,06-12-13,SHS,male,Université Panthéon-Assas,NA
3915,Anna Papasavva,,"Track I versus Track II diplomacy : interactions, interpellations et interdependance",Jean-Jacques Roche,Roche Jean-Jacques,31527604,Paris 2,26403145,Science politique,enCours,06-12-13,,,na,s99559,non,06-12-13,17-03-15,Droit et Science Politique,female,Université Panthéon-Assas,NA
3916,Mahdi Amri,,Les precheurs egyptiens sur internet et les chaines islamiques arabes : vers un renouveau de l'identite spirituelle.,Laurence Denooz,Denooz Laurence,85799289,Universite de Lorraine,157040569,Litteratures francaise et francophone,enCours,07-01-11,,,na,s20084,non,09-12-13,28-06-13,Langues et Litteratures,male,Université de Lorraine,NA
3917,Philippe Morel,,L'emergence de la precision a l'epoque computationnelle.,Anne-Francoise Schmid,Schmid Anne-Francoise,56243871,Universite de Lorraine,157040569,"Philosophie (metaphysique, epistemologie, esthetique)",enCours,20-03-08,,,na,s48591,non,09-12-13,05-04-16,SHS,male,Université de Lorraine,NA
3918,Alexandros Manolakos,,Les paradis fiscaux et les compagnies de jeu en ligne,Benoit Delaunay,Delaunay Benoit,73718114,Paris 2,26403145,Droit communautaire,enCours,09-12-13,,,na,s99596,non,09-12-13,04-04-16,Droit et Science Politique,male,Université Panthéon-Assas,NA
3919,Romain Dere,,L'outil numerique GEVU au service de la gestion d'un parc locatif social : mobilisation de nouveaux concepts de gestion patrimoniale et de strategie territoriale,"Didier Paris,Franck Bodin","Paris Didier,Bodin Franck","298,447,621",Lille 1,26404184,Amenagement et urbanisme,enCours,15-11-11,,,na,s99659,non,09-12-13,04-04-16,SHS,male,Université de Lille,NA
3920,Coline Loison,,"Histoire institutionnelle, sociale, culturelle, de la lutte contre le cancer (1920-1960)",Nathalie Richard,Richard Nathalie,na,Le Mans,26404435,Histoire,enCours,01-10-13,,,na,s99671,non,10-12-13,04-04-16,SHS,female,Le Mans Université,NA
3921,Rodrigue Bouete,,Contribution a l'elaboration de methodes numeriques vibro-acoustiques efficaces pour l'etude et l'optimisation de composants hydrauliques d'injection.,Olivier Dazel,Dazel Olivier,82390584,Le Mans,26404435,Acoustique,enCours,10-07-13,,,na,s99679,non,10-12-13,04-04-16,Science de l'ingÃ©nieur,male,Le Mans Université,NA
3922,Marine Bougard,,La representation des modifications corporelles dans la litterature et les arts anglais: de la politique des identites a l'acte de resistance,Anne-Laure Fortin-Tournes,Fortin-Tournes Anne-Laure,74342010,Le Mans,26404435,Langue et litterature francaise,enCours,10-12-13,,,na,s99693,non,10-12-13,10-12-13,Langues et Litteratures,female,Le Mans Université,NA
3923,Emmanuel Pernot,,Fusions et acquisitions entre societes chinoises et europeennes,Marie Gore,Gore Marie,33775249,Paris 2,26403145,Droit compare,enCours,10-12-13,,,na,s99701,non,10-12-13,04-04-16,Droit et Science Politique,male,Université Panthéon-Assas,NA
3924,Matthieu Donnard,,Exploration du systeme vestibulaire et effets de l'activite physique sur l'equilibre et la posture,Abderahmane Rahmani,Rahmani Abderahmane,na,Le Mans,26404435,Sciences et Techniques des activites physiques et sportives,enCours,13-11-13,,,na,s99706,non,10-12-13,10-12-13,Biologie,male,Le Mans Université,NA
3925,Myriam Filippi,,"Les musulmans dans les mouvements catholiques des annees 1970 aux annees 2010, etude du cas francais et comparaisons europeennes",Dominique Avon,Avon Dominique,05575855X,Le Mans,26404435,Geographie et Histoire,enCours,02-09-13,,,na,s99732,non,10-12-13,04-04-16,SHS,female,Le Mans Université,NA
3926,Vianney Gerils,,Geographie et strategie territoriale : les outils de connaissance spatiale au service de l'optimisation des amenagements publics,"Didier Paris,Franck Bodin","Paris Didier,Bodin Franck","298,447,621",Lille 1,26404184,Amenagement et urbanisme,enCours,12-04-12,,,na,s99742,non,10-12-13,04-04-16,SHS,male,Université de Lille,NA
3927,Xiaodong Huang,,La valorisation des patrimoines cantonnais en Chine,Marie-Madeleine Damien,Damien Marie-Madeleine,34991891,Lille 1,26404184,Amenagement et urbanisme,enCours,04-12-13,,,na,s99747,non,10-12-13,04-04-16,SHS,unknown,Université de Lille,NA
3928,Maud Verherve,,Le passage des frontieres : pratiques et representations,"Patrick Picouet,Francois Moulle","Picouet Patrick,Moulle Francois","688,900,360",Lille 1,26404184,Geographie,enCours,15-11-11,,,na,s99762,non,10-12-13,04-04-16,SHS,female,Université de Lille,NA
3929,Arnaud Banoun,,La logique Maketing dans les services partages.,Francois Blanc,Blanc Francois,na,Paris 1,27361802,Sciences de gestion,enCours,17-01-06,28-11-13,2013.0,na,s99766,non,10-12-13,10-12-13,Economie Gestion,male,Université Paris 1 - Panthéon Sorbonne,NA
3930,Juan Manuel Hernandez Velez (hernandez velez),,La procedure et les libertes anciennes : le discours et la pratique,Francois Saint-Bonnet,Saint-Bonnet Francois,05579176X,Paris 2,26403145,Histoire du droit,enCours,11-12-13,,,na,s99775,non,11-12-13,04-04-16,Droit et Science Politique,male,Université Panthéon-Assas,NA
3931,Elise Wolf-Mandroux (Wolf),,Les personnages seguriens,Francis Marcoin,Marcoin Francis,28270711,Artois,34634894,Etudes litteraires francaises,enCours,10-12-13,,,na,s99777,non,11-12-13,11-12-13,Biologie,female,Université d'Artois,NA
3932,Jean-Francois Freiss,,"Le connecteur, strategie d'acquisition d'une competence en FLE : l'expression ecrite",Jan Goes,Goes Jan,na,Artois,34634894,Sciences du langage,enCours,05-12-11,,,na,s99791,non,11-12-13,11-12-13,Langues et Litteratures,male,Université d'Artois,NA
3933,Gabriel Bibeau-Picard,,La dimension politique de la constitutionnalisation supranationale : entre continuite et rupture du constitutionnalisme classique,Denis Baranger,Baranger Denis,34308598,Paris 2,26403145,Philosophie du droit,enCours,11-12-13,,,na,s99795,non,11-12-13,04-04-16,Droit et Science Politique,male,Université Panthéon-Assas,NA
3934,Undine Stabrey,,Recherches archeologiques sur la temporalite et les choses.,"Alain Schnapp,Thomas Spath","Schnapp Alain,Spath Thomas",na,Paris 1,27361802,"Archeologie, ethnologie, prehistoire",enCours,07-11-13,12-11-13,2013.0,na,s99805,non,11-12-13,11-12-13,SHS,female,Université Paris 1 - Panthéon Sorbonne,NA
3935,Valentine Depauw,,Il etait une fois...le conte de fees au feminin,Claudine Nedelec,Nedelec Claudine,na,Artois,34634894,Etudes litteraires francaises,enCours,05-12-11,,,na,s99822,non,12-12-13,19-02-14,Biologie,female,Université d'Artois,NA
3936,Beyouon Mangloire Kpangnane Somda (kpangnane Somda),,Le statut du droit international dans l'ordre juridique de l'Union europeenne,Carlo Santulli,Santulli Carlo,57455325,Paris 2,26403145,Droit international,enCours,12-12-13,,,na,s99827,non,12-12-13,04-04-16,Droit et Science Politique,unknown,Université Panthéon-Assas,NA
3937,Sarah Schroder,,L'actionnaire et le contentieux international,Yves Nouvel,Nouvel Yves,70550824,Paris 2,26403145,Droit international,enCours,12-12-13,,,na,s99844,non,12-12-13,04-04-16,Droit et Science Politique,female,Université Panthéon-Assas,NA
3938,Mohammed Alhaidan,,L'application jurisprudentielle de la Convention de Vienne de 1980 et la vente internationale des marchandises par les tribunaux du Bahrein et des Etats contractants du Golfe,Georges Khairallah,Khairallah Georges,60563834,Paris 2,26403145,Droit international,enCours,12-12-13,,,na,s99856,non,12-12-13,04-04-16,Droit et Science Politique,male,Université Panthéon-Assas,NA
3939,Coralie Leveneur,,La circulation de la creance hypothecaire,Herve Lecuyer,Lecuyer Herve,54375363,Paris 2,26403145,Droit prive,enCours,12-12-13,,,na,s99858,non,12-12-13,16-03-15,Droit et Science Politique,female,Université Panthéon-Assas,NA
3940,Audrey Noelle KAMTA DJAKOU,,Modelisation des effets de diffraction pour le calcul des echos de geometrie en CND par ultrasons,Catherine Potel,Potel Catherine,102804818,Le Mans,26404435,Acoustique,enCours,25-11-13,,,na,s99863,non,12-12-13,04-04-16,Science de l'ingÃ©nieur,female,Le Mans Université,NA
3941,Sandrine Eschenauer (Lamer),,"Langages, langues-cultures et empathie Une pedagogie enactive de la translangageance basee sur la pratique theatrale dans lenseignement conjoint de deux langues vivantes etrangeres en milieu plurilingue",Joelle Aden,Aden Joelle,103593462,Le Mans,26404435,Langues et linguistique,enCours,20-11-13,,,na,s99864,non,12-12-13,24-07-14,Langues et Litteratures,female,Le Mans Université,NA
3942,Annie Maisonneuve,,"La reecriture en litterature de jeunesse, un enjeu de legitimite ?",Brigitte Ouvry-Vial,Ouvry-Vial Brigitte,70232806,Le Mans,26404435,Langues et linguistique,enCours,05-12-13,,,na,s99866,non,12-12-13,04-04-16,Langues et Litteratures,female,Le Mans Université,NA
3943,Rana Weheba,,Les derives (approche internationale et comparee),Louis d' Avout,Avout Louis d',99001314,Paris 2,26403145,Droit des affaires,enCours,13-12-13,,,na,s99889,non,13-12-13,04-04-16,Droit et Science Politique,female,Université Panthéon-Assas,NA
3944,Elise Cornileau (Hinsinger),,L'entreprise en droit de la concurrence : du droit substantiel au droit processuel.,Yves Chaput,Chaput Yves,na,Paris 1,27361802,Droit,enCours,29-11-02,12-12-13,2013.0,na,s99921,non,13-12-13,13-12-13,Droit et Science Politique,female,Université Paris 1 - Panthéon Sorbonne,NA
3945,Barbara Ciaramella,,Droits fondamentaux et pratiques des affaires,Daniel Cohen,Cohen Daniel,na,Paris 2,26403145,Droit des affaires,enCours,16-12-13,,,na,s99926,non,16-12-13,16-12-13,Droit et Science Politique,female,Université Panthéon-Assas,NA
3946,Anne-Charlotte Denoyelle,,La responsabilite penale militaire,Didier Rebut,Rebut Didier,60768991,Paris 2,26403145,Droit penal,enCours,16-12-13,,,na,s99944,non,16-12-13,16-12-13,Droit et Science Politique,female,Université Panthéon-Assas,NA
3947,Bruno Giraudon,,Trahison et negociation,Jacques Rojot,Rojot Jacques,29645794,Paris 2,26403145,Sciences de gestion,enCours,16-12-13,,,na,s99946,non,16-12-13,16-12-13,Economie Gestion,male,Université Panthéon-Assas,NA
3948,Pauline Gaullier,,Le relogement comme revelateur de l'epreuve d'integration en France,Ferial Drosso,Drosso Ferial,na,Paris Est,190456396,"Amenagement de l'espace, Urbanisme",enCours,26-10-05,,,na,s99965,non,16-12-13,03-03-16,SHS,female,Université Gustave Eiffel,NA
3949,Taous Merzouk,,Espace public dans la ville durable en Mediterranee,"Catherine Bernie boissard,Anne Sistel","Bernie boissard Catherine,Sistel Anne",na,Montpellier 3,26404702,Architecture,enCours,22-11-13,,,na,s99336,non,17-12-13,22-06-15,SHS,unknown,Université Paul-Valéry - Montpellier 3,NA
3950,Cynthia Schlappi,,Representation croisee au Japon dans l'oeuvre de trois ecrivains Europeens: 1887-1928): Pierre Loti...,"Marie-pierre Noel,Gerard Siary","Noel Marie-pierre,Siary Gerard",na,Montpellier 3,26404702,Litterature generale et comparee,enCours,22-11-13,,,na,s99338,non,17-12-13,14-03-14,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
3951,Rosalie Ntamba Boukatiri,175124981,L'adaptation des structures hospitalieres face a un nouveau probleme de sante en Afrique : le cas du Sida au Congo,Francine Demichel,Demichel Francine,50119753,Paris 8,26403552,Droit,soutenue,,01-01-97,1997.0,fr,1997PA083630,non,20-12-13,17-01-14,Droit et Science Politique,female,Université Paris 8 - Vincennes - Saint-Denis,Français
3952,JEAN FRANCOIS MAYET,,Responsabilite et reparation dans les etablissements de sante,JEAN PIERRE MARTY,MARTY JEAN PIERRE,na,Toulouse 1,,Droit prive,soutenue,,01-01-98,1998.0,fr,1998TOU10042,non,20-12-13,19-12-13,Droit et Science Politique,male,Université Toulouse Capitole,Français
3953,Audrey Hernoux,,Depolymerisation catalytique de dechets industriels a base d'amidon: utilisation de methodes d'activation non-conventionnelles et de milieux reactionnels novateurs,"Jean-marc Leveque,Ulla Lassi","Leveque Jean-marc,Lassi Ulla",na,Grenoble,30327202,Chimie,enCours,,20-06-13,2013.0,na,s100162,non,20-12-13,20-12-13,"Materiaux, Milieux et Chimie",female,Université Grenoble Alpes,NA
3954,Hyun sook Kim,,"Esthetique du squat artistique : le vide, l'heterotopie et la politique",Patrick Savidan,Savidan Patrick,03215741X,Poitiers,26403765,Philosophie politique et ethique,enCours,23-10-13,,,na,s100270,non,03-01-14,03-01-14,SHS,andy,Université de Poitiers,NA
3955,Rafca Nasr,,Le decor dans la peinture murale du Moyen Age au Liban,"Marcello Angheben,Gaby Abou samra","Angheben Marcello,Abou samra Gaby",74143840,Poitiers,26403765,Histoire de l'art,enCours,13-11-13,,,na,s100304,non,06-01-14,06-01-14,SHS,unknown,Université de Poitiers,NA
3956,Vanina Sucharitkul,,La contre-attaque des Etats face a l'arbitrage en matiere d'investissement.,Yves Nouvel,Nouvel Yves,70550824,Paris 2,26403145,Droit international,enCours,07-01-13,,,na,s100380,non,07-01-14,04-04-16,Droit et Science Politique,female,Université Panthéon-Assas,NA
3957,Elisabeth Van dokkum,,Decomposer le mouvement dans le temps et lespace : definition de la recuperation post-AVC du membre superieur,Isabelle Laffont,Laffont Isabelle,na,Montpellier 1,28032837,Sciences du Mouvement Humain - Montpellier,enCours,,07-10-13,2013.0,fr,s92042,non,07-01-14,07-01-14,Biologie,female,Université de Montpellier,Français
3958,Thomas Lugand,,Contribution a la modelisation et a l'optimisation de la machine asynchrone a double alimentation pour des centrales hydrauliques de pompage turbinage.,"Gerard Meunier,Albert Foggia","Meunier Gerard,Foggia Albert",na,Grenoble,30327202,Sciences et technologie industrielles,enCours,,02-12-13,2013.0,na,s100426,non,07-01-14,07-01-14,Science de l'ingÃ©nieur,male,Université Grenoble Alpes,NA
3959,Thierry Geoffre,,Vers le controle orthographique en cycle 3 de l'ecole primaire. Analyses psycholinguistiques et propositions didactiques.,Catherine Brissaud,Brissaud Catherine,na,Grenoble,30327202,Sciences du langage - linguistique,enCours,,13-11-13,2013.0,na,s100432,non,07-01-14,07-01-14,Langues et Litteratures,male,Université Grenoble Alpes,NA
3960,Michael Ingerflom,,L'inconscient peut il etre moderne ?,Emmanuelle Borgnis Desbordes,Borgnis Desbordes Emmanuelle,155279610,Rennes 2,54447658,Psychologie,enCours,01-10-13,,,na,s100496,non,07-01-14,07-01-14,Psychologie,male,Université Rennes 2,NA
3961,Jacques Henno,,Essai sur les doubles numeriques : la nouvelle societe sans defense,Christian Le Moenne,Le Moenne Christian,55794297,Rennes 2,54447658,Sciences de l'information et de la communication,enCours,01-10-13,,,na,s100524,non,07-01-14,07-01-14,SHS,male,Université Rennes 2,NA
3962,Francesco Montanaro,,La protection des investissements etrangers directs au sens des Traites de protection des investissements : une analyse comparative et critique,Yves Nouvel,Nouvel Yves,70550824,Paris 2,26403145,Droit international,enCours,01-10-13,,,na,s100564,non,08-01-14,04-04-16,Droit et Science Politique,male,Université Panthéon-Assas,NA
3963,Ivan Darrault-Harris,26812061,Pour une psychosemiotique,Jean Petitot,Petitot Jean,27068846,Paris Ecole des hautes etudes en sciences sociales,26374889,Sciences du langage,soutenue,,01-01-93,1993.0,fr,1993EHES0302,non,09-01-14,16-11-12,Langues et Litteratures,male,na,Français
3964,Benoit Poidevin,,Le genre a l'epreuve de la paternite.,Chantal Delsol mill0n,Delsol mill0n Chantal,na,Paris Est,190456396,Philosophie pratique,enCours,02-12-13,,,na,s100642,non,09-01-14,23-02-16,SHS,unknown,Université Gustave Eiffel,NA
3965,Xavier Lepage,,Les jeux d'influence dans la competition pour les grands contrats internationaux : vers un modele d'intelligence et de prevention.,Nathalie Guibert,Guibert Nathalie,68879113,Paris 2,26403145,Sciences de gestion,enCours,01-10-13,,,na,s100645,non,09-01-14,12-02-15,Economie Gestion,male,Université Panthéon-Assas,NA
3966,Dima Chamseddine,,Regards croises sur la nullite des societes en droit libanais et francais,Herve Lecuyer,Lecuyer Herve,54375363,Paris 2,26403145,Droit prive,enCours,01-10-13,,,na,s100697,non,09-01-14,22-06-15,Droit et Science Politique,female,Université Panthéon-Assas,NA
